event_id,country,iso3,disaster_type,alert_level,severity,magnitude,population,start_date,end_date,latitude,longitude
1028235,Australia,AUS,WF,Green,,6297.0,,2026-04-09T00:00:00,2026-04-12T00:00:00,-32.54525161455545,116.36760939159291
1028234,Australia,AUS,WF,Green,,8892.0,,2026-04-09T00:00:00,2026-04-12T00:00:00,-16.872037517807318,125.02696830908323
1028229,Thailand,THA,WF,Green,,8048.0,,2026-04-01T00:00:00,2026-04-12T00:00:00,15.966379365516408,101.53937958562807
1028222,Thailand,THA,WF,Green,,10801.0,,2026-03-30T00:00:00,2026-04-12T00:00:00,15.159019155754402,99.20666264703972
1028215,Thailand,THA,WF,Green,,8668.0,,2026-03-30T00:00:00,2026-04-12T00:00:00,17.614263541512695,98.72464446326234
1028203,Thailand,THA,WF,Green,,12825.0,,2026-03-29T00:00:00,2026-04-12T00:00:00,16.738090095441457,101.3954582146893
1028195,Laos,LAO,WF,Green,,7390.0,,2026-03-29T00:00:00,2026-04-12T00:00:00,17.987811297197677,101.4964234024436
1028186,Thailand,THA,WF,Green,,8954.0,,2026-03-28T00:00:00,2026-04-12T00:00:00,15.813135854861674,99.27180063609632
1028177,Thailand,THA,WF,Green,,16228.0,,2026-04-01T00:00:00,2026-04-12T00:00:00,14.802852660005085,99.2137551367605
1028136,"Laos, Viet Nam",LAO,WF,Green,,9350.0,,2026-03-28T00:00:00,2026-04-12T00:00:00,16.505032050240708,106.59631241964459
1534887,India,IND,EQ,Green,,4.6,,2026-04-11T22:52:27,2026-04-11T22:52:27,33.0866,76.2361
1534879,China,CHN,EQ,Green,,4.5,,2026-04-11T21:21:50,2026-04-11T21:21:50,26.1139,99.8194
1534822,Türkiye,TUR,EQ,Green,,4.7,,2026-04-11T14:31:56,2026-04-11T14:31:56,39.1996,29.0137
1534806,Peru,PER,EQ,Green,,4.8,,2026-04-11T13:44:11,2026-04-11T13:44:11,-4.4971,-80.76
1534889,"Fox Islands, Aleutian Islands",,EQ,Green,,4.7,,2026-04-11T10:08:09,2026-04-11T10:08:09,51.973,-170.915
1534786,Japan,JPN,EQ,Green,,5.4,,2026-04-11T09:49:51,2026-04-11T09:49:51,41.808,146.4358
1534781,Islamic Republic of Iran,IRN,EQ,Green,,4.5,,2026-04-11T08:41:34,2026-04-11T08:41:34,29.949,50.7755
