event_id,country,iso3,disaster_type,alert_level,severity,population,start_date,end_date,latitude,longitude
1028019,India,IND,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.006014371865458,80.32973815079252
1028020,Nigeria,NGA,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,12.308790095160989,13.973546109269215
1027967,Myanmar,MMR,WF,Green,,,2026-03-20T00:00:00,2026-03-29T00:00:00,19.082615640116774,97.10843634046014
1027968,Thailand,THA,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,18.413294607078473,97.72173587198347
1027969,Myanmar,MMR,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,19.90880765827048,97.99750031271189
1027970,India,IND,WF,Green,,,2026-03-27T00:00:00,2026-03-29T00:00:00,22.65736944213018,77.60864856572798
1027973,Myanmar,MMR,WF,Green,,,2026-03-25T00:00:00,2026-03-29T00:00:00,21.286707817974516,92.30927761815686
1027974,Myanmar,MMR,WF,Green,,,2026-03-26T00:00:00,2026-03-29T00:00:00,20.529894264649723,96.49040635894323
1027975,Myanmar,MMR,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,22.072378374753985,97.59188337314629
1027979,Thailand,THA,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,18.57902333057311,99.85155514440436
1027980,Laos,LAO,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,19.645549724622693,102.9920308852546
1027981,"Bangladesh, Myanmar",BGD,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,21.487484214961395,92.45007072633607
1027982,Laos,LAO,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,20.29981903399381,101.43504192295613
1027983,Myanmar,MMR,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.75402533764972,97.47767464716671
1027984,Myanmar,MMR,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.954500360305914,98.7249037351074
1027985,Thailand,THA,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,18.6649287977335,98.73789308093862
1027986,Myanmar,MMR,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.97943164570478,98.77092689693087
1027987,China,CHN,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,47.01650316051907,124.87888723175895
1027989,Thailand,THA,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,16.95587211430777,98.89826136269042
1027990,Myanmar,MMR,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,17.841396985475473,97.26385199804515
1027995,Myanmar,MMR,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,20.614473943564533,97.91482141751169
1027996,Myanmar,MMR,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,20.40461944458838,99.17577714281076
1027997,Laos,LAO,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,16.445210892655265,106.38479102542435
1027998,Myanmar,MMR,WF,Green,,,2026-03-18T00:00:00,2026-03-29T00:00:00,19.036033356173117,97.21082469679773
1027999,Thailand,THA,WF,Green,,,2026-03-18T00:00:00,2026-03-29T00:00:00,17.23968317150682,98.51220987600043
1027918,Laos,LAO,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,19.45354092826978,102.77344316269648
1027919,Laos,LAO,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,19.83320705277647,103.19120105398243
1027924,Myanmar,MMR,WF,Green,,,2026-03-18T00:00:00,2026-03-29T00:00:00,20.977905038873235,97.8474702135165
1027925,Myanmar,MMR,WF,Green,,,2026-03-18T00:00:00,2026-03-29T00:00:00,21.202400417992592,98.77699357236023
1027928,Myanmar,MMR,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,20.792128521997075,98.52595763696036
1027929,Myanmar,MMR,WF,Green,,,2026-03-18T00:00:00,2026-03-29T00:00:00,18.588872619620393,97.52608345733654
1027932,Myanmar,MMR,WF,Green,,,2026-03-20T00:00:00,2026-03-29T00:00:00,19.99413521493298,98.25268068279759
1027936,Myanmar,MMR,WF,Green,,,2026-03-16T00:00:00,2026-03-29T00:00:00,19.469151356347812,97.59533110034283
1027937,Myanmar,MMR,WF,Green,,,2026-03-17T00:00:00,2026-03-29T00:00:00,19.714392504787554,97.69654527510167
1027938,Myanmar,MMR,WF,Green,,,2026-03-15T00:00:00,2026-03-29T00:00:00,17.973263978610294,96.00279955456264
1027939,India,IND,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,22.430010318538674,77.24186696507546
1027940,India,IND,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,22.47898270604183,77.42160023964428
1027934,Myanmar,MMR,WF,Green,,,2026-03-20T00:00:00,2026-03-29T00:00:00,20.983394237502466,98.79457608729511
1027941,China,CHN,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,46.31195834450473,125.41217269611381
1027944,Kazakhstan,KAZ,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,45.314985174815206,75.0792631949401
1027946,Myanmar,MMR,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,20.38281792295678,99.67920158916168
1027947,China,CHN,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,46.22925750147582,127.12512475165579
1027948,Laos,LAO,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,19.38596001869767,102.53178036077496
1027949,Thailand,THA,WF,Green,,,2026-03-20T00:00:00,2026-03-29T00:00:00,17.711275176654123,98.80509524205267
1027954,Laos,LAO,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,19.477977148952707,103.41252536598789
1027955,Laos,LAO,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,15.30298410134295,107.13071807641099
1027956,Laos,LAO,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.709144004203022,102.88580644568034
1027953,Laos,LAO,WF,Green,,,2026-03-16T00:00:00,2026-03-29T00:00:00,19.807931915669894,103.47001093715582
1027962,Myanmar,MMR,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.14648175933329,97.2108581509397
1027963,Myanmar,MMR,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,19.976930424636695,97.80392530520479
1027965,Thailand,THA,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,19.0313947509219,99.15973158286131
1027860,India,IND,WF,Green,,,2026-03-17T00:00:00,2026-03-29T00:00:00,19.08504894620744,80.37793271512115
1027861,China,CHN,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,46.0646933777029,129.80887094653409
1027869,Myanmar,MMR,WF,Green,,,2026-03-17T00:00:00,2026-03-29T00:00:00,16.297811240926162,98.2036541947617
1027875,China,CHN,WF,Green,,,2026-03-17T00:00:00,2026-03-29T00:00:00,45.99367730711923,125.50317826845442
1027881,Myanmar,MMR,WF,Green,,,2026-03-18T00:00:00,2026-03-29T00:00:00,16.560088416937884,98.50698898534074
1027878,Myanmar,MMR,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,20.46571871917112,98.90989729316841
1027885,Myanmar,MMR,WF,Green,,,2026-03-16T00:00:00,2026-03-29T00:00:00,19.965817346639316,97.18131200654788
1027886,China,CHN,WF,Green,,,2026-03-16T00:00:00,2026-03-29T00:00:00,45.68106361087348,125.7082082746537
1027894,Myanmar,MMR,WF,Green,,,2026-03-20T00:00:00,2026-03-29T00:00:00,20.12053816526341,98.84707856197869
1027896,Myanmar,MMR,WF,Green,,,2026-03-18T00:00:00,2026-03-29T00:00:00,19.22779888800336,96.09795347616651
1027898,Laos,LAO,WF,Green,,,2026-03-16T00:00:00,2026-03-29T00:00:00,19.802727119714778,103.02873213651918
1027902,Myanmar,MMR,WF,Green,,,2026-03-17T00:00:00,2026-03-29T00:00:00,15.851310979082657,98.3409774924811
1027903,India,IND,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,22.63918532709382,77.35106652078908
1027905,Myanmar,MMR,WF,Green,,,2026-03-19T00:00:00,2026-03-29T00:00:00,18.65200805113987,97.40369605511579
1027913,Laos,LAO,WF,Green,,,2026-03-23T00:00:00,2026-03-29T00:00:00,15.36619177120278,107.29507515723502
1027914,Laos,LAO,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,15.507338296505289,107.23897305276039
1027916,China,CHN,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,46.46570669932329,122.54069450137978
1028021,Myanmar,MMR,WF,Green,,,2026-03-24T00:00:00,2026-03-29T00:00:00,19.8152261928094,98.28548870010036
1028022,Thailand,THA,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,17.56033232485998,98.94405716388276
1028023,Myanmar,MMR,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,19.84254452077091,98.48151690776187
1028024,Myanmar,MMR,WF,Green,,,2026-03-22T00:00:00,2026-03-29T00:00:00,20.188480098137806,99.0382143364163
1028025,Thailand,THA,WF,Green,,,2026-03-21T00:00:00,2026-03-29T00:00:00,17.515879334531455,99.01726793069909
1028026,Myanmar,MMR,WF,Green,,,2026-03-20T00:00:00,2026-03-29T00:00:00,18.896361801366623,97.41948120299668
